BELLA_+_CANVAS_3001_Ash_Back_High.jpg: #E8E7EC
BELLA_+_CANVAS_3001_Ash_Front_High.jpg: #ECEBF0
BELLA_+_CANVAS_3001_Asphalt_Back_High.jpg: #555555
BELLA_+_CANVAS_3001_Asphalt_Front_High.jpg: #545454
BELLA_+_CANVAS_3001_Berry_Back_High.jpg: #E94778
BELLA_+_CANVAS_3001_Berry_Front_High.jpg: #EC4A7B
BELLA_+_CANVAS_3001_Black_Back_High.jpg: #191516
BELLA_+_CANVAS_3001_Black_Front_High.jpg: #191516
BELLA_+_CANVAS_3001_Blue_Storm_Back_High.jpg: #778284
BELLA_+_CANVAS_3001_Blue_Storm_Front_High.jpg: #768183
BELLA_+_CANVAS_3001_Cardinal_Back_High.jpg: #6C1D23
BELLA_+_CANVAS_3001_Cardinal_Front_High.jpg: #6C1D23
BELLA_+_CANVAS_3001_Carolina_Blue_Back_High.jpg: #80ABDE
BELLA_+_CANVAS_3001_Carolina_Blue_Front_High.jpg: #84AFE2
BELLA_+_CANVAS_3001_Dark_Grey_Back_High.jpg: #333333
BELLA_+_CANVAS_3001_Dark_Grey_Front_High.jpg: #323232
BELLA_+_CANVAS_3001_Dusty_Blue_Back_High.jpg: #A1B7AB
BELLA_+_CANVAS_3001_Dusty_Blue_Front_High.jpg: #BAD0C4
BELLA_+_CANVAS_3001_Forest_Back_High.jpg: #153029
BELLA_+_CANVAS_3001_Forest_Front_High.jpg: #17322B
BELLA_+_CANVAS_3001_Gold_Back_High.jpg: #FEB528
BELLA_+_CANVAS_3001_Gold_Front_High.jpg: #FFB72D
BELLA_+_CANVAS_3001_Kelly_Back_High.jpg: #056034
BELLA_+_CANVAS_3001_Kelly_Front_High.jpg: #036431
BELLA_+_CANVAS_3001_Lavender_Blue_Back_High.jpg: #8F9EBD
BELLA_+_CANVAS_3001_Lavender_Blue_Front_High.jpg: #909FBE
BELLA_+_CANVAS_3001_Light_Violet_Back_High.jpg: #BCACB9
BELLA_+_CANVAS_3001_Light_Violet_Front_High.jpg: #C1AFBD
BELLA_+_CANVAS_3001_Maroon_Back_High.jpg: #4E1118
BELLA_+_CANVAS_3001_Maroon_Front_High.jpg: #521117
BELLA_+_CANVAS_3001_Mauve_Back_High.jpg: #BB7776
BELLA_+_CANVAS_3001_Mauve_Front_High.jpg: #BE7D7B
BELLA_+_CANVAS_3001_Military_Green_Back_High.jpg: #625D4A
BELLA_+_CANVAS_3001_Military_Green_Front_High.jpg: #6D6854
BELLA_+_CANVAS_3001_Mint_Back_High.jpg: #ABD4C6
BELLA_+_CANVAS_3001_Mint_Front_High.jpg: #A9D5C6
BELLA_+_CANVAS_3001_Mustard_Back_High.jpg: #E0A03F
BELLA_+_CANVAS_3001_Mustard_Front_High.jpg: #E6A645
BELLA_+_CANVAS_3001_Natural_Back_High.jpg: #DED9C6
BELLA_+_CANVAS_3001_Natural_Front_High.jpg: #DDDAC7
BELLA_+_CANVAS_3001_Navy_Back_High.jpg: #242132
BELLA_+_CANVAS_3001_Navy_Front_High.jpg: #272435
BELLA_+_CANVAS_3001_Peach_Back_High.jpg: #F1C3AC
BELLA_+_CANVAS_3001_Peach_Front_High.jpg: #F6C8B1
BELLA_+_CANVAS_3001_Pink_Back_High.jpg: #D8B3BA
BELLA_+_CANVAS_3001_Pink_Front_High.jpg: #D8B3BA
BELLA_+_CANVAS_3001_Red_Back_High.jpg: #C8001D
BELLA_+_CANVAS_3001_Red_Front_High.jpg: #CE0120
BELLA_+_CANVAS_3001_Royal_Purple_Back_High.jpg: #915B95
BELLA_+_CANVAS_3001_Royal_Purple_Front_High.jpg: #98629C
BELLA_+_CANVAS_3001_Silver_Back_High.jpg: #D5D4D0
BELLA_+_CANVAS_3001_Silver_Front_High.jpg: #D8D7D3
BELLA_+_CANVAS_3001_Soft_Cream_Back_High.jpg: #EED4B1
BELLA_+_CANVAS_3001_Soft_Cream_Front_High.jpg: #F0D6B3
BELLA_+_CANVAS_3001_Solid_Athletic_Grey_Back_High.jpg: #D0CFCD
BELLA_+_CANVAS_3001_Solid_Athletic_Grey_Front_High.jpg: #C9C5C2
BELLA_+_CANVAS_3001_Steel_Blue_Back_High.jpg: #6B757E
BELLA_+_CANVAS_3001_Steel_Blue_Front_High.jpg: #667079
BELLA_+_CANVAS_3001_Storm_Back_High.jpg: #A0969F
BELLA_+_CANVAS_3001_Storm_Front_High.jpg: #978D96
BELLA_+_CANVAS_3001_Tan_Back_High.jpg: #C9B8A4
BELLA_+_CANVAS_3001_Tan_Front_High.jpg: #CBBBAB
BELLA_+_CANVAS_3001_Teal_Back_High.jpg: #49C9BC
BELLA_+_CANVAS_3001_Teal_Front_High.jpg: #49C9BC
BELLA_+_CANVAS_3001_Team_Purple_Back_High.jpg: #362458
BELLA_+_CANVAS_3001_Team_Purple_Front_High.jpg: #342256
BELLA_+_CANVAS_3001_Toast_Back_High.jpg: #CC8241
BELLA_+_CANVAS_3001_Toast_Front_High.jpg: #CC8241
BELLA_+_CANVAS_3001_True_Royal_Back_High.jpg: #014EAA
BELLA_+_CANVAS_3001_True_Royal_Front_High.jpg: #054FAE
BELLA_+_CANVAS_3001_Vintage_Black_Back_High.jpg: #261D20
BELLA_+_CANVAS_3001_Vintage_Black_Front_High.jpg: #261E1C
BELLA_+_CANVAS_3001_Vintage_White_Back_High.jpg: #ECE4E1
BELLA_+_CANVAS_3001_Vintage_White_Front_High.jpg: #EEE6E3
BELLA_+_CANVAS_3001_White_Back_High.jpg: #E5E4EC
BELLA_+_CANVAS_3001_White_Front_High.jpg: #F0EFF4
